review_id,product_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes
R1KTX4USE1JN2Y,B08YRT9T38,"5.0 out of 5 stars Beautiful Sound, Beautiful Design",Ethan Barbee,5,"This is the third different B&O speaker I've bought. They're all exceptional in their own way. This Explore is amazingly clear. Not much bass, but everything else. And great battery life.It's weatherproof. Has the looks you'd expect from B&O. Very portable. Great connectivity.I also have the Beoplay A1 (1st generation. Very important). The A1 does have the bass, but not the battery life. And the connectivity of the A1 is tricky. But I prefer the A1 sound. I've owned several.I really like the B&O app, also.Check out B&O's headphones. They have the best sound of all.","Reviewed in the United States September 2, 2024",AEOMNSFUKAOLDVBX7HYX64VEXTEQ,True,0,Color: NavyStyle: Bluetooth speaker
R2HAQUWSTPUU1B,B08YRT9T38,"5.0 out of 5 stars Great sound, compact, very well made!*****",Bridget Brooks,5,I typically goes to Bose speakers as my first choice but this was on sale and bought it for my husband to take out disc golfing. The sounds is great! Very loud and clear. Base is not like the Bose speakers which was fine b because we weren’t looking for a lot of base. We took the speaker out with us kayaking yesterday and did amazing on the river. I will buy a second one when these go on sale again👍🏼 very well made and looks nice too! Mostly I love the size of the speaker small enough to fit in my purse or clip to the kayak or clip to my husbands disc golf bag. The speaker has very high quality sound! *****,"Reviewed in the United States July 22, 2024",AEK6OWCPNNGR5I2IFKONWQBWN5GQ,True,1,Color: NavyStyle: Bluetooth speaker
R2OXTERJCBYAF0,B08YRT9T38,"5.0 out of 5 stars Nice little speaker, sweet sound",P. Mumford,5,"I bought this to take into my backyard in the afternoons and evenings when I want to relax. It doesn't have any bass to speak of, but it does have richly textured lower midtones (which I'd say are more important), and sparkling treble notes. My wife also loves it. If I was hosting barbecues, and inviting company over, it would not be nearly big enough. For parties I'd get the larger model B&O portable. But I just put this little thing on the patio table with the wine and snacks, and its perfect for myself and my wife. Battery life seems to be very good. And it just so easy to carry with you and play where ever you want it.","Reviewed in the United States July 27, 2024",AEQ34ZA5DNYEPTKOIOMUUUKHPUWQ,True,2,Color: Grey MistStyle: Bluetooth speaker
R2N9LGOT33J14T,B08YRT9T38,4.0 out of 5 stars A Posh Music speaker!,RT - Gadget Guy,4,"B&O makes posh high end audio gear….gear which showcases the most avant-garde design which would be at home in any modern art museum (MOMA indeed has some of the past B&O iconic products in their exhibits). Normally their gear is priced out of the range of normal-average-hard-working folk ($10000 speakers for example), but with this product, you can get to experience a slice of the life of the upper 0.1%!In all seriousness, this is a regular tiny Bluetooth speaker which has a price at least 5X more than your average tiny Bluetooth speaker. So what do you get for that premium? First, the whole shell is made of metal. It feels cool to the touch. It has hard “Type II anodization” on the aluminum shell which will help resist scratches, and should take the hard knocks while it’s hanging off your backpack using the supplied carabiner clip. The speaker is IPX67 meaning it’s water and dust resistant. You can immerse the whole thing into water for a very short period even.Soundwise, this is a tiny speaker so don’t expect much in terms of volume and thump. It will start to distort if you try to turn it up too high (it's not going to fill a large room in your house). It sounds smooth and the tonality is slightly warm (you hear less of the treble and more of the midrange). Deep bass is nonexistent, but there’s just enough of upper bass tones that you can follow the rhythm of the beat. Measurements on other review sites show that it doesn’t reproduce any content below 100Hz. Basically, it doesn’t reinvent any laws of acoustics and still sounds like a small speaker. But the overall sound quality is clean and the tonality is pleasant. it’s a portable speaker that you can carry with you anywhere, so you can have some music while boating, at the beach, hiking, camping etc. It just works!Battery life is good, at lower and moderate volumes, it easily lasts 10+ hours. Controls are simple: power, volume, play/pause/skip forward backwards. It isn’t necessary to install the app but the app is useful because it gives you the exact battery percentage, turn-off the auto-standby feature if you don’t want it, and has some presets to select a different sound signature or alternatively you can fine tune the strength of the treble/midrange/bass precisely by moving around a slider into four quadrants on the screen. I think it sounds fine with the default “optimized” preset. Also as a bonus, you can plug this into your computer with the USB and used it like a wired USB speaker. You can pair two Bluetooth devices to it, which is the norm nowadays.So is it worth it? By the way, I bought this at a 45% discount (check amazon price history for this product) and even though it’s still not inexpensive, I feel it is good value. Even if it had cost more, I would not have been disappointed. I don’t mind paying more for something that feels like it’s going to last, and with B&O, you get some cutting edge design with great sound engineering.This is a 5 star product, but minus 1 star just because I would have liked to have a microphone so that it acts as speakerphone. Also, because of the bluetooth profile, your device won't show the battery percentage on the phone itself, you have to view the percentage in the app. And the sound is good but it doesn't manage to break any laws of physics (not blaming the speaker but I had hoped that it would really stand out among other small speakers of this size with the bag of tricks that B&O geniuses have up their sleeves. The result is merely very good rather than exceptional). So result is 4 out of 5","Reviewed in the United States March 3, 2024",AE6TVTGGPRUEMJMSIV5SX6NDA2PA,True,7,Color: NavyStyle: Bluetooth speaker
R2X7LV4K100RNI,B08YRT9T38,5.0 out of 5 stars Natural true sounding speaker.,hubbabubba66,5,"Sound quality is very good. The app provides preset and customizable EQ profiles. I bring the bass up a bit for my setting. This speaker has a solid/rugged build. Since the sound projects 360 degrees the sound is balanced in all directions. Since we'll be using the Explore for playing music from our patio table this makes the experience pleasurable for all. The IOS/Android app is very weak but once it's set up you don't need to use it again. Note, this is not a party speaker. It's meant to provide clean,accurate, low volume background music.","Reviewed in the United States June 24, 2024",AGDYLA7QS2TXWBTITQ2OMV7XNSQQ,True,4,Color: Black AnthraciteStyle: Bluetooth speaker
R3ADNXWGP9S3EZ,B08YRT9T38,5.0 out of 5 stars My camper sound system,D. hanson,5,"So I took a chance and out fitted my my camper with a pair of Bang and Olufsen explore speakers. Paired in stereo amazing sound. No the base is not going to blow you away but it’s there and clarity is superb. 27 hr battery life and build Quality was a big selling point. From hammock to bike and hike, can’t go wrong. I bought them certified used and would easily buy again.","Reviewed in the United States July 31, 2024",AGTDQNQ6JV3RX7QAI4SLJGKCGBOA,True,1,Color: NavyStyle: Bluetooth speaker
RMFEKPJTVWHES,B08YRT9T38,3.0 out of 5 stars It’s good but I’m a little disappointed,Garden nymph,3,"I have had many wireless speakers. UE boom, UE roll (both good for the money). I have a Harmon kardon gen 1 or 2 Bluetooth that sounds excellent. I have an Audi A 5 convertible with a B and O sound system that is just the best thing ever. I had never heard B and O until I got the Audi. So. Now I have refurbished a vintage travel trailer and wanted some killer sound while I’m camping. It’s a small space so I don’t need anything like the Harmon Kardon. Plus that needs an outlet. So I’m thinking what does B and O offer in a small package? I got this speaker for $118 because of the gray color I guess. It was cheaper than black. I downloaded the app. And with some adjustments to the bass /treble on the app I was able to get a satisfactory sound. Was I blown away. Sadly not. I was expecting a lot more from B and O. Even if it’s just a wireless speaker. It’s not bad by any means. And I guess for the price it’s a good value. I guess I’m comparing it to my Audi stereo system which is just amazing. 🤩 I can crank it to infinity and it’s crystal clear. I like crisp sound that I can distinctly hear all the beautiful components. Is that too much to ask for in a wireless Bluetooth speaker from the infamous B and O? Like l said it’s not bad any means. But I guess my expectations were too high. It can be cranked to a point. But I’d like it louder. Anyway. Just my rambling thoughts. I’m in my little camper now drinking some beer on a sunny Saturday afternoon listening to some jazz and just chillin. Hope this review helps!!","Reviewed in the United States March 23, 2024",AHZVSYRJS77OUR4XJLUGEGHOSL7Q,True,7,Color: Grey MistStyle: Bluetooth speaker
R3ELNVFWRZ5TMW,B08YRT9T38,5.0 out of 5 stars Solid Purchase!,RH,5,"Pros:- the brand- price (if it’s on sale for $130)- most versatile speaker I’ve found (light weight, can hang on a back pack, 100% dust and sand resistance, water resistant except for diving, can be dropped in a river, on concrete, and sand dune and it doesn’t matter, treated aluminum making it very scratch resistant)- sounds very clear (instruments, vocals, and bass are all very separatedCons: - could be louder and have more bass (however, at this size being louder and having more bass is basically not possible. Also bass can be increased in the app and it doesn’t drown out the vocals like most equalizers do. For perspective, at full volume in a medium sized room me and a friend cannot really talk to each other and hear what we’re saying without yelling)","Reviewed in the United States October 17, 2022",AGTAY7O5BUDQPKUAMY2WWRO7GHIA,True,10,Color: Black AnthraciteStyle: Bluetooth speaker
R2EQRMH8UW9L5L,B08YRT9T38,4.0 out of 5 stars Good purchase,MARK QUIST,4,Very portable and pleasant sound output.,"Reviewed in the United States July 25, 2024",AHUQDVYOVVR6H3ZM4X6747CRETMA,True,1,Color: NavyStyle: Bluetooth speaker
R2VPCYRMV7IFWF,B08YRT9T38,5.0 out of 5 stars Sound is awesome,FAIR1,5,Excellent speaker.,"Reviewed in the United States August 22, 2024",AE773L7IQLJFR6KRPVQE224P3FLQ,True,0,Color: Black AnthraciteStyle: Bluetooth speaker
